Clusters used:,10
Dimension:,2
numDataPoints,serialTime,parallelTime
100,.12512140000000000000,.07917150000000000000
200,.24994160000000000000,.13754150000000000000
300,.37505330000000000000,.21254070000000000000
400,.50042460000000000000,.26736050000000000000
500,.62863110000000000000,.33513360000000000000
600,.74679430000000000000,.40965700000000000000
700,.87111400000000000000,.47112400000000000000
800,.99773380000000000000,.53916840000000000000
900,1.12297700000000000000,.61071910000000000000
1000,1.24583300000000000000,.67290990000000000000
1100,1.37563500000000000000,.72975370000000000000
1200,1.50505800000000000000,.84161270000000000000
1300,1.61915300000000000000,.88013520000000000000
1400,1.74382500000000000000,.93745890000000000000
1500,1.86674000000000000000,1.00423540000000000000
1600,1.99185600000000000000,1.08467900000000000000
1700,2.11477100000000000000,1.13658200000000000000
1800,2.23591100000000000000,1.20161000000000000000
1900,2.37082800000000000000,1.26665800000000000000
2000,2.52315300000000000000,1.42619500000000000000
2100,2.62969400000000000000,1.42197600000000000000
2200,2.75524600000000000000,1.53284700000000000000
2300,2.91567400000000000000,1.87397900000000000000
2400,3.00291400000000000000,1.80924200000000000000
2500,3.14222900000000000000,1.80701700000000000000
2600,3.25317400000000000000,1.78985000000000000000
2700,3.37391700000000000000,1.87009900000000000000
2800,3.48958500000000000000,1.85366200000000000000
2900,3.61606500000000000000,1.98287300000000000000
3000,3.80429900000000000000,2.39699800000000000000
3100,3.87486100000000000000,2.20570300000000000000
3200,3.99765700000000000000,2.26799900000000000000
3300,4.14530300000000000000,2.32922300000000000000
3400,4.25093000000000000000,2.40252400000000000000
3500,4.38376100000000000000,2.41888600000000000000
3600,4.49055800000000000000,2.45967300000000000000
3700,4.61738800000000000000,2.51564800000000000000
3800,4.73678200000000000000,2.55658700000000000000
3900,4.86333400000000000000,2.62267400000000000000
4000,5.00488600000000000000,2.72996600000000000000
4100,5.13524200000000000000,2.82037100000000000000
4200,5.25916900000000000000,3.02701200000000000000
4300,5.37259900000000000000,3.01670300000000000000
4400,5.49560300000000000000,3.00835900000000000000
4500,5.63975500000000000000,3.25226900000000000000
4600,5.75874000000000000000,3.17261900000000000000
4700,5.85566000000000000000,3.14077900000000000000
4800,5.97275700000000000000,3.22442600000000000000
4900,6.10721800000000000000,3.24390700000000000000
5000,6.21542500000000000000,3.38132500000000000000
